시대명,id,시대 상세,시기,시작,종료,rdfs:comment,seeAlso
선사시대,Prehistory,,~ -1001,,-1001,"문자를 사용하기 이전 시대로, 청동기시대 이전을 의미함",
청동기시대,BronzeAge,,-1000 ~ -300,-1000,-300,청동기를 사용하는 시대를 의미함,
철기시대,IronAge,,-299 ~ 300,-299,300,철기를 사용하는 시대를 의미하며 우리역사넷에 따라 전기 후기를 구분함,http://vocab.getty.edu/page/aat/300019279
철기시대,EarlyIronAge,철기시대 전기,-299 ~ 1,-299,1,전기 철기시대를 의미함,
철기시대,LateIronAge,철기시대 후기,2 ~ 300,2,300,"후기 철기시대를 의미하며, 삼국시대 초기와 삼한시대를 포함함",
삼국시대,ThreeKingdoms,,2 ~ 653,2,653,"고구려, 백제, 신라 세 나라가 정립된 시기. 철기시대 후기에 삼국이 형성되었으며, 삼한시대를 포함함",http://vocab.getty.edu/page/aat/300018680
삼국시대,EarlyThreeKingdoms,삼국시대 전기,2 ~ 300,2,300,철기시대 후기에 삼국이 형성됨,
삼국시대,LateThreeKingdoms,삼국시대 후기,301 ~ 653,301,653,"후기 삼국시대를 의미하며, 통일신라 무열왕 이전까지를 의미함",
가야시대,Gaya,,-1 ~ 562,-1,562,가야가 건국되고 멸망하기 까지의 시대를 의미함,
남북국시대,NorthernAndSouthernStates,,654 ~ 935,654,935,"발해 시대와 통일신라 시대를 이르는 시기로, 문화재청의 설명을 기준으로 전기, 중기, 후기를 구분함
고려 전기와 일부분 중첩될 수 있음",http://vocab.getty.edu/page/aat/300018688 (통일신라)
남북국시대,EarlyNorthernAndSouthernStates,남북국시대 전기,654 ~ 742,654,742,무열왕부터 효성왕까지의 시기를 의미함,
남북국시대,MiddleNorthernAndSouthernStates,남북국시대 중기,743 ~ 857,743,857,경덕왕부터 문성왕까지의 시기를 의미함,
남북국시대,LateNorthernAndSouthernStates,남북국시대 후기,858 ~ 935,858,935,헌안왕부터 통일신라 멸망까지의 시기를 의미함,
고려시대,Goryeo,,918 ~ 1391,918,1391,"고려 시대 전기, 중기, 후기를 각각 정치제도, 시대상황의 변화에 따라 구분함
3성 6부제가 시행된 성종 이전까지를 고려 전기라 규정하고,성종 이후부터 원 간섭기 전까지의 시기를 중기로, 원 간섭기부터 멸망까지를 후기로 정함",http://vocab.getty.edu/page/aat/300134127
고려시대,EarlyGoryeo,고려시대 전기,918 ~ 980,918,980,고려 건국부터 성종 이전까지의 시기를 의미함,
고려시대,MiddleGoryeo,고려시대 중기,981 ~ 1258,981,1258,성종부터 원 간섭기 이전까지의 시기를 의미함,
고려시대,LateGoryeo,고려시대 후기,1259 ~ 1391,1259,1391,원 간섭기부터 고려 멸망까지의 시기를 의미함,
조선시대,Joseon,,1392 ~ 1897,1392,1897,"조선시대의 중요한 가치인 유교이념에 따른 정치, 사회적 사건을 기준으로 시기를 구분함
조선 전기는 조선 건국부터 사림파와 훈구파가 충돌한 무오사화 이전의 시기로 정하고, 후기는 탕평론과 세도 정치가 시작된 영조부터 대한제국 선포 이전까지로 구분함",http://vocab.getty.edu/page/aat/300106675
조선시대,EarlyJoseon,조선시대 전기,1392 ~ 1497,1392,1497,조선이 건국된 14세기 후반부터 무오사화 이전까지의 시기를 의미함,
조선시대,MiddleJoseon,조선시대 중기,1498 ~ 1724,1498,1724,무오사화 이후부터 영조 전까지의 시기를 의미함,
조선시대,LateJoseon,조선시대 후기,1725 ~ 1897,1725,1897,영조부터 대한제국 선포 이전까지의 시기를 의미함,
시대미상,UnknownPeriod,,,,,시대를 알 수 없음,